site,plot,plot.unq,replicate,n.treat,n.treat.dummy,n.treat.cat,weevil,weevil.dummy,block,21_d13c,21_mg.c.gsoil,21_d15n,21_mg.n.gsoil,18_mg.c.gsoil,18_mg.n.gsoil,18_c.mg.m2,18_n.mg.m2,litter_kg_m2_mean,herb_kg_m2_mean,som_kg_m2_mean,pH2019,percent.moist2019,bd.cores.g.cm3.2021,bd.pits.g.cm3.2018,sum.13,sum.14,sum.21,numberwillow,numberother,totalnumber,willowarea,otherarea,totalstemarea
2,4,22,b,0,0,control,W,1,4,-28.03,3.2,-1.22,0.460608538,1.696070606,0.192066667,0.004240177,0.000480167,4.505555556,0.026388889,0.006222222,5.68,17.21,1.35,1.349,100.8,151.6054075,308.8743254,5,0,5,330.1107806,0,330.1107806
2,4,22,c,0,0,control,W,1,4,-27.35,3,-1.57,0.403290598,1.7852372,0.2842114,0.004463093,0.000710529,4.505555556,0.026388889,0.006222222,5.68,17.21,1.35,1.349,100.8,151.6054075,308.8743254,5,0,5,330.1107806,0,330.1107806
2,8,26,a,0,0,control,NW,0,5,-27.87,3.6,-1.95,0.140166337,1.770187125,0.14849725,0.004425468,0.000371243,1.825625,0.1375,0.045625,5.75,13.22,1.42,1.459,146.1,152.665695,208.1,11,1,12,207.947437,2.269800692,210.2172377
2,8,26,b,0,0,control,NW,0,5,-27.78,2.5,-1.75,0.109009346,3.655502625,0.212315125,0.009138757,0.000530788,1.825625,0.1375,0.045625,5.75,13.22,1.42,1.459,146.1,152.665695,208.1,11,1,12,207.947437,2.269800692,210.2172377
2,8,26,c,0,0,control,NW,0,5,-27.69,3.5,-1.34,0.148863366,1.728775443,0.147427342,0.004321939,0.000368568,1.825625,0.1375,0.045625,5.75,13.22,1.42,1.459,146.1,152.665695,208.1,11,1,12,207.947437,2.269800692,210.2172377
2,11,29,a,0,0,control,W,1,5,-27.97,3.2,-1.8,0.203305302,1.819881,0.1515161,0.004549703,0.00037879,2.482727273,0.027045455,0.010772727,5.93,14.33,1.44,1.554,66.3,84.40674062,29.7,6,1,7,22.1768167,2.717477645,24.89429435
2,11,29,b,0,0,control,W,1,5,-28.07,3.2,-1.83,0.217758092,1.923522857,0.139328265,0.004808807,0.000348321,2.482727273,0.027045455,0.010772727,5.93,14.33,1.44,1.554,66.3,84.40674062,29.7,6,1,7,22.1768167,2.717477645,24.89429435
2,11,29,c,0,0,control,W,1,5,-28.55,3.6,-2.09,0.218272317,1.705903776,0.134299898,0.004264759,0.00033575,2.482727273,0.027045455,0.010772727,5.93,14.33,1.44,1.554,66.3,84.40674062,29.7,6,1,7,22.1768167,2.717477645,24.89429435
2,14,32,a,0,0,control,NW,0,6,-28.33,3.3,-2.15,0.192282027,1.422632625,0.099195375,0.003556582,0.000247988,3.176666667,0.233333333,0.0775,5.88,13.21,1.24,1.535,155.3,133.2192365,281.5,8,0,8,281.6244606,0,281.6244606
2,14,32,b,0,0,control,NW,0,6,-27.93,3.4,-1.95,0.179252045,2.023402025,0.141842405,0.005058505,0.000354606,3.176666667,0.233333333,0.0775,5.88,13.21,1.24,1.535,155.3,133.2192365,281.5,8,0,8,281.6244606,0,281.6244606
2,14,32,c,0,0,control,NW,0,6,-28.17,3.9,-1.89,0.190641172,2.452474875,0.16215375,0.006131187,0.000405384,3.176666667,0.233333333,0.0775,5.88,13.21,1.24,1.535,155.3,133.2192365,281.5,8,0,8,281.6244606,0,281.6244606
2,18,36,a,0,0,control,W,1,6,-28,2.8,-3.21,0.172145881,1.652091515,0.122428687,0.004130229,0.000306072,2.633888889,0.023611111,0.009166667,5.73,12.54,1.31,1.686,174.2,191.4800722,62,19,0,19,114.542154,0,114.542154
2,18,36,b,0,0,control,W,1,6,-28.95,2.8,-3.44,0.146572774,1.3672317,0.0818584,0.003418079,0.000204646,2.633888889,0.023611111,0.009166667,5.73,12.54,1.31,1.686,174.2,191.4800722,62,19,0,19,114.542154,0,114.542154
2,18,36,c,0,0,control,W,1,6,-28.08,2.6,-3.22,0.174719677,1.1274546,0.0921533,0.002818637,0.000230383,2.633888889,0.023611111,0.009166667,5.73,12.54,1.31,1.686,174.2,191.4800722,62,19,0,19,114.542154,0,114.542154
1,2,2,a,8,1,low,NW,0,1,-27.78,5.6,-0.44,0.32951028,7.995504783,0.586308551,0.019988762,0.001465771,2.7621875,0.061875,0.0190625,5.61,7.32,1.39,1.107,94.6,101.1200135,264.1,2,1,3,264.0643714,18.19767545,282.2620468
1,2,2,b,8,1,low,NW,0,1,-27.95,5.3,-0.43,0.362576991,8.278525238,0.75126,0.020696313,0.00187815,2.7621875,0.061875,0.0190625,5.61,7.32,1.39,1.107,94.6,101.1200135,264.1,2,1,3,264.0643714,18.19767545,282.2620468
1,2,2,c,8,1,low,NW,0,1,-27.6,5.3,0.56,0.344184615,5.300509702,0.428945522,0.013251274,0.001072364,2.7621875,0.061875,0.0190625,5.61,7.32,1.39,1.107,94.6,101.1200135,264.1,2,1,3,264.0643714,18.19767545,282.2620468
1,4,4,a,8,1,low,W,1,1,-27.11,5.6,-0.71,0.411320755,6.780492371,0.434136701,0.016951231,0.001085342,3.7495,0.029,0.00635,5.58,12.46,1.48,1.111,48.7,51.7027611,15.1,0,0,0,0,0,0
1,4,4,b,8,1,low,W,1,1,-27.24,5.3,-0.54,0.479866379,4.580392277,0.309359109,0.011450981,0.000773398,3.7495,0.029,0.00635,5.58,12.46,1.48,1.111,48.7,51.7027611,15.1,0,0,0,0,0,0
