Sample ID,site,plot,plot.unq,replicate,n.treat,weevil,block,21_d13c,21_mg.c.gsoil,21_d15n,21_mg.n.gsoil,18_mg.c.gsoil,18_mg.n.gsoil,18_c.mg.m2,18_n.mg.m2,litter_kg_m2_mean,herb_kg_m2_mean,som_kg_m2_mean,litter_kg_m2_std.error,herb_kg_m2_std.error,som_kg_m2_std.error,pH2019,percent.moist2019,bd.cores.g.cm3.2021,bd.pits.g.cm3.2018,sum.13,sum.14,sum.21,numberwillow,numberother,totalnumber,willowstemdiam,otherstemdiam,totalstemdiam,plantcover,plantcover.std.error
e7a,East,7,7,a,8,NW,2,-28.64,8.6,0.14,0.275777561,5.626590448,0.360926716,0.014066476,0.000902317,1.65475,0.07125,0.04435,0.259276625,0.012595469,0.01058643,5.94,11.48,1.27,1.179,124.6,308.5986464,623.5,8,2,10,840.0661953,18.83581145,858.9020067,2.7515625,0.343631778
e7b,East,7,7,b,8,NW,2,-28.26,7.8,0.28,0.29399003,4.511312813,0.269840625,0.011278282,0.000674602,1.65475,0.07125,0.04435,0.259276625,0.012595469,0.01058643,5.94,11.48,1.27,1.179,124.6,308.5986464,623.5,8,2,10,840.0661953,18.83581145,858.9020067,2.7515625,0.343631778
e7c,East,7,7,c,8,NW,2,-28.19,7.1,-0.12,0.318153846,6.981375938,0.421685625,0.01745344,0.001054214,1.65475,0.07125,0.04435,0.259276625,0.012595469,0.01058643,5.94,11.48,1.27,1.179,124.6,308.5986464,623.5,8,2,10,840.0661953,18.83581145,858.9020067,2.7515625,0.343631778
e8a,East,8,8,a,8,W,2,-27.64,4.1,-2.01,0.971670244,5.624192286,0.409972952,0.014060481,0.001024932,1.353636364,0.030227273,0.006977273,0.159285109,0.005715356,0.002999328,5.76,12.43,0.83,1.165,57.5,62.94180881,10.2,1,2,3,10.18857767,8.209295763,18.39787344,1.3,0
e8b,East,8,8,b,8,W,2,-27.3,4.4,-2.62,1.269192231,7.544068879,0.488456262,0.018860172,0.001221141,1.353636364,0.030227273,0.006977273,0.159285109,0.005715356,0.002999328,5.76,12.43,0.83,1.165,57.5,62.94180881,10.2,1,2,3,10.18857767,8.209295763,18.39787344,1.3,0
e8c,East,8,8,c,8,W,2,-27.74,4.4,-2.31,1.072493724,7.334336539,0.504988942,0.018335841,0.001262472,1.353636364,0.030227273,0.006977273,0.159285109,0.005715356,0.002999328,5.76,12.43,0.83,1.165,57.5,62.94180881,10.2,1,2,3,10.18857767,8.209295763,18.39787344,1.3,0
e9a,East,9,9,a,16,NW,2,-28.15,4.7,-0.31,0.328978995,5.111258667,0.389800444,0.012778147,0.000974501,3.33055,0.07875,0.04215,1.1403545,0.020416667,0.008361967,5.71,12.23,1.44,1.264,67.7,285.3587147,283.9,7,0,7,495.7311471,0,495.7311471,2.5625,0.387960556
e9b,East,9,9,b,16,NW,2,-27.94,5.1,-0.71,0.332319361,5.004480667,0.34048,0.012511202,0.0008512,3.33055,0.07875,0.04215,1.1403545,0.020416667,0.008361967,5.71,12.23,1.44,1.264,67.7,285.3587147,283.9,7,0,7,495.7311471,0,495.7311471,2.5625,0.387960556
e9c,East,9,9,c,16,NW,2,-28.09,5.2,-0.22,0.353269955,5.749822667,0.386532222,0.014374557,0.000966331,3.33055,0.07875,0.04215,1.1403545,0.020416667,0.008361967,5.71,12.23,1.44,1.264,67.7,285.3587147,283.9,7,0,7,495.7311471,0,495.7311471,2.5625,0.387960556
e10a,East,10,10,a,0,W,2,-28.34,3.2,-0.07,0.259746171,3.3590622,0.2580559,0.008397656,0.00064514,0.9915,0.03275,0.0081,0.146183484,0.008671873,0.003148015,5.36,10.25,1.18,1.434,51.5,86.20530241,19.2,3,1,4,34.22553139,8.270242661,42.49577405,1.1125,0.108972474
e10b,East,10,10,b,0,W,2,-28.45,3.6,-0.39,0.219037182,3.9221715,0.2980513,0.009805429,0.000745128,0.9915,0.03275,0.0081,0.146183484,0.008671873,0.003148015,5.36,10.25,1.18,1.434,51.5,86.20530241,19.2,3,1,4,34.22553139,8.270242661,42.49577405,1.1125,0.108972474
e10c,East,10,10,c,0,W,2,-28.55,3.9,-0.46,0.253485714,3.135393711,0.245223918,0.007838484,0.00061306,0.9915,0.03275,0.0081,0.146183484,0.008671873,0.003148015,5.36,10.25,1.18,1.434,51.5,86.20530241,19.2,3,1,4,34.22553139,8.270242661,42.49577405,1.1125,0.108972474
e11a,East,11,11,a,0,NW,2,-28.37,5.3,-0.59,0.335216461,2.698055185,0.207170864,0.006745138,0.000517927,2.251111111,0.076111111,0.065333333,0.410034956,0.015986708,0.01306368,5.49,9.27,1.47,1.289,183.2,264.0979864,546.4,4,0,4,546.414854,0,546.414854,2.95625,0.587134195
e11b,East,11,11,b,0,NW,2,-28.45,6.2,-0.55,0.347013567,1.623336071,0.096700119,0.00405834,0.00024175,2.251111111,0.076111111,0.065333333,0.410034956,0.015986708,0.01306368,5.49,9.27,1.47,1.289,183.2,264.0979864,546.4,4,0,4,546.414854,0,546.414854,2.95625,0.587134195
e11c,East,11,11,c,0,NW,2,-28.27,5.7,-0.36,0.384237321,3.549802771,0.244935181,0.008874507,0.000612338,2.251111111,0.076111111,0.065333333,0.410034956,0.015986708,0.01306368,5.49,9.27,1.47,1.289,183.2,264.0979864,546.4,4,0,4,546.414854,0,546.414854,2.95625,0.587134195
e12a,East,12,12,a,16,W,2,-28.55,4.7,-2.28,0.44907286,3.021212344,0.207556719,0.007553031,0.000518892,3.115227273,0.012954545,0.003977273,0.685595002,0.005176632,0.002361734,5.84,10.38,1.28,1.237,12.5,79.45087821,62.6,4,1,5,62.53135973,4.476769531,67.00812927,1.4125,0.118035129
e12b,East,12,12,b,16,W,2,-28.71,4.2,-1.12,0.467205769,4.556552206,0.355338088,0.011391381,0.000888345,3.115227273,0.012954545,0.003977273,0.685595002,0.005176632,0.002361734,5.84,10.38,1.28,1.237,12.5,79.45087821,62.6,4,1,5,62.53135973,4.476769531,67.00812927,1.4125,0.118035129
e12c,East,12,12,c,16,W,2,-28.62,4.5,-2.12,0.413228332,3.074995846,0.218879538,0.00768749,0.000547199,3.115227273,0.012954545,0.003977273,0.685595002,0.005176632,0.002361734,5.84,10.38,1.28,1.237,12.5,79.45087821,62.6,4,1,5,62.53135973,4.476769531,67.00812927,1.4125,0.118035129
e13a,East,13,13,a,16,W,3,-27.28,3.3,-1.11,0.255967078,2.733597188,0.196454844,0.006833993,0.000491137,2.8915,0.02775,0.002325,0.812562066,0.010829807,0.001057414,5.48,12.95,1.3,0.992,19.5,33.37942194,13.9,2,4,6,13.95652536,35.12999591,49.08652127,0.60625,0.13125
e13b,East,13,13,b,16,W,3,-27.49,3.5,-1.05,0.258850909,3.605810769,0.233013538,0.009014527,0.000582534,2.8915,0.02775,0.002325,0.812562066,0.010829807,0.001057414,5.48,12.95,1.3,0.992,19.5,33.37942194,13.9,2,4,6,13.95652536,35.12999591,49.08652127,0.60625,0.13125
e13c,East,13,13,c,16,W,3,-27.65,3.6,-1.06,0.271773737,4.283622462,0.271595538,0.010709056,0.000678989,2.8915,0.02775,0.002325,0.812562066,0.010829807,0.001057414,5.48,12.95,1.3,0.992,19.5,33.37942194,13.9,2,4,6,13.95652536,35.12999591,49.08652127,0.60625,0.13125
e14a,East,14,14,a,0,NW,3,-28.6,6.3,-1.71,0.348270613,1.536445875,0.126269625,0.003841115,0.000315674,2.04925,0.06325,0.03735,0.677776394,0.015284569,0.01060321,5.68,13.74,1.4,1.43,133.6,155.1946771,333.1,5,0,5,415.47178,0,415.47178,2.2625,0.365782552
e14b,East,14,14,b,0,NW,3,-28.27,7.6,-2.18,0.381128682,2.188598214,0.173873214,0.005471496,0.000434683,2.04925,0.06325,0.03735,0.677776394,0.015284569,0.01060321,5.68,13.74,1.4,1.43,133.6,155.1946771,333.1,5,0,5,415.47178,0,415.47178,2.2625,0.365782552
e14c,East,14,14,c,0,NW,3,-28.29,7.3,-1.89,0.30409446,2.801706,0.189013125,0.007004265,0.000472533,2.04925,0.06325,0.03735,0.677776394,0.015284569,0.01060321,5.68,13.74,1.4,1.43,133.6,155.1946771,333.1,5,0,5,415.47178,0,415.47178,2.2625,0.365782552
e15a,East,15,15,a,16,NW,3,-27.4,10.9,-1.58,0.57409009,2.553320667,0.213698444,0.006383302,0.000534246,3.955,0.105277778,0.061777778,0.983179455,0.033230164,0.020077473,5.55,14.29,1.41,1.122,24.1,44.85408911,118.7,5,0,5,132.4617985,0,132.4617985,1.4325,0.256679518
e15b,East,15,15,b,16,NW,3,-27.71,9.4,-1.41,0.568455464,3.55237,0.247059778,0.008880925,0.000617649,3.955,0.105277778,0.061777778,0.983179455,0.033230164,0.020077473,5.55,14.29,1.41,1.122,24.1,44.85408911,118.7,5,0,5,132.4617985,0,132.4617985,1.4325,0.256679518
e15c,East,15,15,c,16,NW,3,-28,11.2,-1.3,0.625447563,2.827366667,0.231397778,0.007068417,0.000578494,3.955,0.105277778,0.061777778,0.983179455,0.033230164,0.020077473,5.55,14.29,1.41,1.122,24.1,44.85408911,118.7,5,0,5,132.4617985,0,132.4617985,1.4325,0.256679518
e16a,East,16,16,a,8,W,3,-27.7,6.1,-1.87,0.365190157,3.8377485,0.2533382,0.009594371,0.000633346,1.608611111,0.023611111,0.009055556,0.432636281,0.007047841,0.00360333,5.87,8.22,1.6,1.392,40,64.62256088,12.6,1,0,1,0,0,0,0,0
e16b,East,16,16,b,8,W,3,-27.95,5.1,-1.93,0.317007042,6.682484546,0.324830808,0.016706211,0.000812077,1.608611111,0.023611111,0.009055556,0.432636281,0.007047841,0.00360333,5.87,8.22,1.6,1.392,40,64.62256088,12.6,1,0,1,0,0,0,0,0
e16c,East,16,16,c,8,W,3,-27.8,5.6,-1.91,0.324396992,2.815507879,0.183992424,0.00703877,0.000459981,1.608611111,0.023611111,0.009055556,0.432636281,0.007047841,0.00360333,5.87,8.22,1.6,1.392,40,64.62256088,12.6,1,0,1,0,0,0,0,0
e17a,East,17,17,a,8,NW,3,-27.48,7.4,-1.09,0.308823801,3.295660588,0.233716029,0.008239151,0.00058429,4.02325,0.037,0.038225,0.90677175,0.006622772,0.023091017,5.63,10.31,1.28,1.298,52.4,90.49357639,379.2,5,1,6,365.1107931,34.99239415,400.1031873,2.0825,0.122703912
e17b,East,17,17,b,8,NW,3,-27.94,7.8,-0.97,0.300300092,3.236922923,0.218115538,0.008092307,0.000545289,4.02325,0.037,0.038225,0.90677175,0.006622772,0.023091017,5.63,10.31,1.28,1.298,52.4,90.49357639,379.2,5,1,6,365.1107931,34.99239415,400.1031873,2.0825,0.122703912
