Sample ID,site,succession,plot,plot.unq,replicate,n.treat,weevil,label,block,leaf_d15n,leaf_d13c,leaf_c,leaf_n,21_d13c,21_mg.c.gsoil,21_d15n,21_mg.n.gsoil,18_mg.c.gsoil,18_mg.n.gsoil,18_c.mg.m2,18_n.mg.m2,litter_kg_m2_mean,herb_kg_m2_mean,som_kg_m2_mean,litter_kg_m2_std.error,herb_kg_m2_std.error,som_kg_m2_std.error,pH2019,percent.moist2019,bd.cores.g.cm3.2021,bd.pits.g.cm3.2018,sum.13,sum.14,sum.21,numberwillow,numberother,totalnumber,willowstemdiam,otherstemdiam,totalstemdiam,plantcoverwillow,plantcoverallwoody,plantcover.std.error
e5b,East,Primary,5,5,b,0,W,East5W0,1,-3.97,-28.62,54.54,1.33,-28.08,8.3,-1.54,0.808523364,4.0832853,0.3210477,0.010208213,0.000802619,1.8125,0.0255,0.0085,0.524276088,0.00834832,0.002587362,5.94,12.86,1.47,1.327,161.9,185.5503161,65.5,5,2,7,65.46105196,6.271404335,71.7324563,1.1175,1.1175,0.147775167
e5c,East,Primary,5,5,c,0,W,East5W0,1,-4.11,-28.58,48.85,1.48,-28.09,7.3,-1.51,0.80432,5.216379091,0.391873737,0.013040948,0.000979684,1.8125,0.0255,0.0085,0.524276088,0.00834832,0.002587362,5.94,12.86,1.47,1.327,161.9,185.5503161,65.5,5,2,7,65.46105196,6.271404335,71.7324563,1.1175,1.1175,0.147775167
e6a,East,Primary,6,6,a,16,W,East6W16,1,-2.25,-28.23,45.07,1.85,-28.71,7.8,-2.38,0.483162268,3.32331455,0.28186348,0.008308286,0.000704659,3.262083333,0.032916667,0.020416667,0.625182915,0.006160982,0.007960802,5.64,13.48,1.15,1.145,122.2,183.9166879,251,10,2,12,396.0990703,34.54377472,430.6428451,1.9175,4.8925,0.169416892
e6b,East,Primary,6,6,b,16,W,East6W16,1,-2.08,-28.3,41.32,1.83,-28.47,7.1,-1.74,0.539592764,2.90147313,0.29288776,0.007253683,0.000732219,3.262083333,0.032916667,0.020416667,0.625182915,0.006160982,0.007960802,5.64,13.48,1.15,1.145,122.2,183.9166879,251,10,2,12,396.0990703,34.54377472,430.6428451,1.9175,4.8925,0.169416892
e6c,East,Primary,6,6,c,16,W,East6W16,1,-2.11,-28.33,45.48,1.98,-28.45,7.3,-1.95,0.535851982,3.24828677,0.38750954,0.008120717,0.000968774,3.262083333,0.032916667,0.020416667,0.625182915,0.006160982,0.007960802,5.64,13.48,1.15,1.145,122.2,183.9166879,251,10,2,12,396.0990703,34.54377472,430.6428451,1.9175,4.8925,0.169416892
e7a,East,Primary,7,7,a,8,NW,East7NW8,2,-2.89,-28.62,60.8,2,-28.64,8.6,0.14,0.275777561,5.626590448,0.360926716,0.014066476,0.000902317,1.65475,0.07125,0.04435,0.259276625,0.012595469,0.01058643,5.94,11.48,1.27,1.179,124.6,308.5986464,623.5,8,2,10,840.0661953,18.83581145,858.9020067,2.7515625,5.1015625,0.343631778
e7b,East,Primary,7,7,b,8,NW,East7NW8,2,-2.91,-28.64,60.82,1.99,-28.26,7.8,0.28,0.29399003,4.511312813,0.269840625,0.011278282,0.000674602,1.65475,0.07125,0.04435,0.259276625,0.012595469,0.01058643,5.94,11.48,1.27,1.179,124.6,308.5986464,623.5,8,2,10,840.0661953,18.83581145,858.9020067,2.7515625,5.1015625,0.343631778
e7c,East,Primary,7,7,c,8,NW,East7NW8,2,-2.69,-28.65,60.52,1.42,-28.19,7.1,-0.12,0.318153846,6.981375938,0.421685625,0.01745344,0.001054214,1.65475,0.07125,0.04435,0.259276625,0.012595469,0.01058643,5.94,11.48,1.27,1.179,124.6,308.5986464,623.5,8,2,10,840.0661953,18.83581145,858.9020067,2.7515625,5.1015625,0.343631778
e8a,East,Primary,8,8,a,8,W,East8W8,2,-1.78,-28.31,46.97,1.94,-27.64,4.1,-2.01,0.971670244,5.624192286,0.409972952,0.014060481,0.001024932,1.353636364,0.030227273,0.006977273,0.159285109,0.005715356,0.002999328,5.76,12.43,0.83,1.165,57.5,62.94180881,10.2,1,2,3,10.18857767,8.209295763,18.39787344,1.3,2.1125,0
e8b,East,Primary,8,8,b,8,W,East8W8,2,-1.77,-28.3,46.3,1.87,-27.3,4.4,-2.62,1.269192231,7.544068879,0.488456262,0.018860172,0.001221141,1.353636364,0.030227273,0.006977273,0.159285109,0.005715356,0.002999328,5.76,12.43,0.83,1.165,57.5,62.94180881,10.2,1,2,3,10.18857767,8.209295763,18.39787344,1.3,2.1125,0
e8c,East,Primary,8,8,c,8,W,East8W8,2,-1.88,-28.38,47.64,2.08,-27.74,4.4,-2.31,1.072493724,7.334336539,0.504988942,0.018335841,0.001262472,1.353636364,0.030227273,0.006977273,0.159285109,0.005715356,0.002999328,5.76,12.43,0.83,1.165,57.5,62.94180881,10.2,1,2,3,10.18857767,8.209295763,18.39787344,1.3,2.1125,0
e9a,East,Primary,9,9,a,16,NW,East9NW16,2,-1.45,-27.71,45.06,1.86,-28.15,4.7,-0.31,0.328978995,5.111258667,0.389800444,0.012778147,0.000974501,3.33055,0.07875,0.04215,1.1403545,0.020416667,0.008361967,5.71,12.23,1.44,1.264,67.7,285.3587147,283.9,7,0,7,495.7311471,0,495.7311471,2.5625,2.5625,0.387960556
e9b,East,Primary,9,9,b,16,NW,East9NW16,2,-1.39,-27.75,49.15,1.97,-27.94,5.1,-0.71,0.332319361,5.004480667,0.34048,0.012511202,0.0008512,3.33055,0.07875,0.04215,1.1403545,0.020416667,0.008361967,5.71,12.23,1.44,1.264,67.7,285.3587147,283.9,7,0,7,495.7311471,0,495.7311471,2.5625,2.5625,0.387960556
e9c,East,Primary,9,9,c,16,NW,East9NW16,2,-1.41,-27.71,45.99,1.97,-28.09,5.2,-0.22,0.353269955,5.749822667,0.386532222,0.014374557,0.000966331,3.33055,0.07875,0.04215,1.1403545,0.020416667,0.008361967,5.71,12.23,1.44,1.264,67.7,285.3587147,283.9,7,0,7,495.7311471,0,495.7311471,2.5625,2.5625,0.387960556
e10a,East,Primary,10,10,a,0,W,East10W0,2,-2.99,-29.34,48.5,1.96,-28.34,3.2,-0.07,0.259746171,3.3590622,0.2580559,0.008397656,0.00064514,0.9915,0.03275,0.0081,0.146183484,0.008671873,0.003148015,5.36,10.25,1.18,1.434,51.5,86.20530241,19.2,3,1,4,34.22553139,8.270242661,42.49577405,1.1125,1.8,0.108972474
e10b,East,Primary,10,10,b,0,W,East10W0,2,-3.09,-29.28,48.34,1.83,-28.45,3.6,-0.39,0.219037182,3.9221715,0.2980513,0.009805429,0.000745128,0.9915,0.03275,0.0081,0.146183484,0.008671873,0.003148015,5.36,10.25,1.18,1.434,51.5,86.20530241,19.2,3,1,4,34.22553139,8.270242661,42.49577405,1.1125,1.8,0.108972474
e10c,East,Primary,10,10,c,0,W,East10W0,2,-3.02,-29.35,49.15,1.1,-28.55,3.9,-0.46,0.253485714,3.135393711,0.245223918,0.007838484,0.00061306,0.9915,0.03275,0.0081,0.146183484,0.008671873,0.003148015,5.36,10.25,1.18,1.434,51.5,86.20530241,19.2,3,1,4,34.22553139,8.270242661,42.49577405,1.1125,1.8,0.108972474
e11a,East,Primary,11,11,a,0,NW,East11NW0,2,-2.29,-29.08,52.82,1.7,-28.37,5.3,-0.59,0.335216461,2.698055185,0.207170864,0.006745138,0.000517927,2.251111111,0.076111111,0.065333333,0.410034956,0.015986708,0.01306368,5.49,9.27,1.47,1.289,183.2,264.0979864,546.4,4,0,4,546.414854,0,546.414854,2.95625,2.95625,0.587134195
e11b,East,Primary,11,11,b,0,NW,East11NW0,2,-2.27,-29.03,58.27,1.94,-28.45,6.2,-0.55,0.347013567,1.623336071,0.096700119,0.00405834,0.00024175,2.251111111,0.076111111,0.065333333,0.410034956,0.015986708,0.01306368,5.49,9.27,1.47,1.289,183.2,264.0979864,546.4,4,0,4,546.414854,0,546.414854,2.95625,2.95625,0.587134195
e11c,East,Primary,11,11,c,0,NW,East11NW0,2,-2.28,-29.1,54.2,1.83,-28.27,5.7,-0.36,0.384237321,3.549802771,0.244935181,0.008874507,0.000612338,2.251111111,0.076111111,0.065333333,0.410034956,0.015986708,0.01306368,5.49,9.27,1.47,1.289,183.2,264.0979864,546.4,4,0,4,546.414854,0,546.414854,2.95625,2.95625,0.587134195
e12a,East,Primary,12,12,a,16,W,East12W16,2,-2.13,-28.37,58.87,1.55,-28.55,4.7,-2.28,0.44907286,3.021212344,0.207556719,0.007553031,0.000518892,3.115227273,0.012954545,0.003977273,0.685595002,0.005176632,0.002361734,5.84,10.38,1.28,1.237,12.5,79.45087821,62.6,4,1,5,62.53135973,4.476769531,67.00812927,1.4125,1.85,0.118035129
e12b,East,Primary,12,12,b,16,W,East12W16,2,-2.32,-28.25,41.69,1.54,-28.71,4.2,-1.12,0.467205769,4.556552206,0.355338088,0.011391381,0.000888345,3.115227273,0.012954545,0.003977273,0.685595002,0.005176632,0.002361734,5.84,10.38,1.28,1.237,12.5,79.45087821,62.6,4,1,5,62.53135973,4.476769531,67.00812927,1.4125,1.85,0.118035129
e12c,East,Primary,12,12,c,16,W,East12W16,2,-2.24,-28.33,50.16,1.54,-28.62,4.5,-2.12,0.413228332,3.074995846,0.218879538,0.00768749,0.000547199,3.115227273,0.012954545,0.003977273,0.685595002,0.005176632,0.002361734,5.84,10.38,1.28,1.237,12.5,79.45087821,62.6,4,1,5,62.53135973,4.476769531,67.00812927,1.4125,1.85,0.118035129
e13a,East,Primary,13,13,a,16,W,East13W16,3,-1.95,-27.66,46.78,1.63,-27.28,3.3,-1.11,0.255967078,2.733597188,0.196454844,0.006833993,0.000491137,2.8915,0.02775,0.002325,0.812562066,0.010829807,0.001057414,5.48,12.95,1.3,0.992,19.5,33.37942194,13.9,2,4,6,13.95652536,35.12999591,49.08652127,0.60625,3.93125,0.13125
e13b,East,Primary,13,13,b,16,W,East13W16,3,-1.94,-27.7,47.55,1.74,-27.49,3.5,-1.05,0.258850909,3.605810769,0.233013538,0.009014527,0.000582534,2.8915,0.02775,0.002325,0.812562066,0.010829807,0.001057414,5.48,12.95,1.3,0.992,19.5,33.37942194,13.9,2,4,6,13.95652536,35.12999591,49.08652127,0.60625,3.93125,0.13125
e13c,East,Primary,13,13,c,16,W,East13W16,3,-1.8,-27.64,47.04,1.68,-27.65,3.6,-1.06,0.271773737,4.283622462,0.271595538,0.010709056,0.000678989,2.8915,0.02775,0.002325,0.812562066,0.010829807,0.001057414,5.48,12.95,1.3,0.992,19.5,33.37942194,13.9,2,4,6,13.95652536,35.12999591,49.08652127,0.60625,3.93125,0.13125
e14a,East,Primary,14,14,a,0,NW,East14NW0,3,-3.87,-28.02,45.46,1.74,-28.6,6.3,-1.71,0.348270613,1.536445875,0.126269625,0.003841115,0.000315674,2.04925,0.06325,0.03735,0.677776394,0.015284569,0.01060321,5.68,13.74,1.4,1.43,133.6,155.1946771,333.1,5,0,5,415.47178,0,415.47178,2.2625,2.2625,0.365782552
e14b,East,Primary,14,14,b,0,NW,East14NW0,3,-3.59,-28.04,49.09,1.88,-28.27,7.6,-2.18,0.381128682,2.188598214,0.173873214,0.005471496,0.000434683,2.04925,0.06325,0.03735,0.677776394,0.015284569,0.01060321,5.68,13.74,1.4,1.43,133.6,155.1946771,333.1,5,0,5,415.47178,0,415.47178,2.2625,2.2625,0.365782552
e14c,East,Primary,14,14,c,0,NW,East14NW0,3,-3.53,-28.03,50.72,1.92,-28.29,7.3,-1.89,0.30409446,2.801706,0.189013125,0.007004265,0.000472533,2.04925,0.06325,0.03735,0.677776394,0.015284569,0.01060321,5.68,13.74,1.4,1.43,133.6,155.1946771,333.1,5,0,5,415.47178,0,415.47178,2.2625,2.2625,0.365782552
e15a,East,Primary,15,15,a,16,NW,East15NW16,3,-1.48,-28.49,49.77,1.93,-27.4,10.9,-1.58,0.57409009,2.553320667,0.213698444,0.006383302,0.000534246,3.955,0.105277778,0.061777778,0.983179455,0.033230164,0.020077473,5.55,14.29,1.41,1.122,24.1,44.85408911,118.7,5,0,5,132.4617985,0,132.4617985,1.4325,1.4325,0.256679518
e15b,East,Primary,15,15,b,16,NW,East15NW16,3,-1.67,-28.54,49.34,1.64,-27.71,9.4,-1.41,0.568455464,3.55237,0.247059778,0.008880925,0.000617649,3.955,0.105277778,0.061777778,0.983179455,0.033230164,0.020077473,5.55,14.29,1.41,1.122,24.1,44.85408911,118.7,5,0,5,132.4617985,0,132.4617985,1.4325,1.4325,0.256679518
e15c,East,Primary,15,15,c,16,NW,East15NW16,3,-1.5,-28.43,49.14,1.42,-28,11.2,-1.3,0.625447563,2.827366667,0.231397778,0.007068417,0.000578494,3.955,0.105277778,0.061777778,0.983179455,0.033230164,0.020077473,5.55,14.29,1.41,1.122,24.1,44.85408911,118.7,5,0,5,132.4617985,0,132.4617985,1.4325,1.4325,0.256679518
e16a,East,Primary,16,16,a,8,W,East16W8,3,-2.6,-27.25,43.26,1.57,-27.7,6.1,-1.87,0.365190157,3.8377485,0.2533382,0.009594371,0.000633346,1.608611111,0.023611111,0.009055556,0.432636281,0.007047841,0.00360333,5.87,8.22,1.6,1.392,40,64.62256088,12.6,1,0,1,0,0,0,0,0,0
e16b,East,Primary,16,16,b,8,W,East16W8,3,-2.22,-27.19,43.31,1.58,-27.95,5.1,-1.93,0.317007042,6.682484546,0.324830808,0.016706211,0.000812077,1.608611111,0.023611111,0.009055556,0.432636281,0.007047841,0.00360333,5.87,8.22,1.6,1.392,40,64.62256088,12.6,1,0,1,0,0,0,0,0,0
e16c,East,Primary,16,16,c,8,W,East16W8,3,-2.28,-27.35,44.14,1.61,-27.8,5.6,-1.91,0.324396992,2.815507879,0.183992424,0.00703877,0.000459981,1.608611111,0.023611111,0.009055556,0.432636281,0.007047841,0.00360333,5.87,8.22,1.6,1.392,40,64.62256088,12.6,1,0,1,0,0,0,0,0,0
e17a,East,Primary,17,17,a,8,NW,East17NW8,3,-3.72,-28.64,50.32,1.26,-27.48,7.4,-1.09,0.308823801,3.295660588,0.233716029,0.008239151,0.00058429,4.02325,0.037,0.038225,0.90677175,0.006622772,0.023091017,5.63,10.31,1.28,1.298,52.4,90.49357639,379.2,5,1,6,365.1107931,34.99239415,400.1031873,2.0825,3.495,0.122703912
e17b,East,Primary,17,17,b,8,NW,East17NW8,3,-3.42,-28.62,45.22,1.38,-27.94,7.8,-0.97,0.300300092,3.236922923,0.218115538,0.008092307,0.000545289,4.02325,0.037,0.038225,0.90677175,0.006622772,0.023091017,5.63,10.31,1.28,1.298,52.4,90.49357639,379.2,5,1,6,365.1107931,34.99239415,400.1031873,2.0825,3.495,0.122703912
e17c,East,Primary,17,17,c,8,NW,East17NW8,3,-3.43,-28.59,49.82,1.3,-26.77,7.2,-2.35,0.307634409,4.660157539,0.266952769,0.011650394,0.000667382,4.02325,0.037,0.038225,0.90677175,0.006622772,0.023091017,5.63,10.31,1.28,1.298,52.4,90.49357639,379.2,5,1,6,365.1107931,34.99239415,400.1031873,2.0825,3.495,0.122703912
e18a,East,Primary,18,18,a,0,W,East18W0,3,-4.61,-27.8,45.9,1.56,-28.11,4.8,-1.88,0.333867661,4.6838721,0.2263881,0.01170968,0.00056597,2.342272727,0.018181818,0.002977273,0.634470113,0.004839362,0.002245312,5.78,9.42,1.2,1.434,57.9,95.81857593,48.3,5,1,6,109.3377131,85.19999277,194.5377058,1.555,5.23,0.079902284
e18b,East,Primary,18,18,b,0,W,East18W0,3,-4.64,-27.73,48.9,1.28,-27.95,5.2,-1.84,0.32433366,4.9178895,0.3280001,0.012294724,0.00082,2.342272727,0.018181818,0.002977273,0.634470113,0.004839362,0.002245312,5.78,9.42,1.2,1.434,57.9,95.81857593,48.3,5,1,6,109.3377131,85.19999277,194.5377058,1.555,5.23,0.079902284
e18c,East,Primary,18,18,c,0,W,East18W0,3,-4.77,-27.7,42.41,1.24,-28.23,4.8,-1.66,0.314546875,4.0050165,0.284242,0.010012541,0.000710605,2.342272727,0.018181818,0.002977273,0.634470113,0.004839362,0.002245312,5.78,9.42,1.2,1.434,57.9,95.81857593,48.3,5,1,6,109.3377131,85.19999277,194.5377058,1.555,5.23,0.079902284
w1a,West,Primary,1,19,a,0,NW,West1NW0,4,-4.32,-28.74,54.21,1.52,-28.17,6.3,-0.55,0.233545763,2.370239268,0.170567195,0.005925598,0.000426418,5.7635,0.0575,0.03425,1.54500374,0.013462912,0.009021964,5.75,16,1.53,1.449,100.1,194.6373729,415,6,0,6,473.4501866,0,473.4501866,2.45625,2.45625,0.351718253
w1b,West,Primary,1,19,b,0,NW,West1NW0,4,-4.2,-28.7,57.04,1.54,-28.01,7.9,-0.95,0.211803509,3.03820875,0.214702625,0.007595522,0.000536757,5.7635,0.0575,0.03425,1.54500374,0.013462912,0.009021964,5.75,16,1.53,1.449,100.1,194.6373729,415,6,0,6,473.4501866,0,473.4501866,2.45625,2.45625,0.351718253
w1c,West,Primary,1,19,c,0,NW,West1NW0,4,-4.4,-28.73,50.4,1.76,-27.88,7.7,-0.93,0.288043697,2.729118,0.19166325,0.006822795,0.000479158,5.7635,0.0575,0.03425,1.54500374,0.013462912,0.009021964,5.75,16,1.53,1.449,100.1,194.6373729,415,6,0,6,473.4501866,0,473.4501866,2.45625,2.45625,0.351718253
w2a,West,Primary,2,20,a,8,NW,West2NW8,4,-2.75,-27.09,50.35,1.75,-27.82,4.9,-0.93,0.360687554,3.741732727,0.288635152,0.009354332,0.000721588,6.086,0.07625,0.039,1.013971236,0.012140669,0.01025508,5.56,15.91,1.55,1.321,150.6,298.2785145,577.4,7,1,8,669.4426069,17.87008587,687.3126927,2.714285714,4.564285714,0.273146194
w2b,West,Primary,2,20,b,8,NW,West2NW8,4,-2.53,-27.02,46.67,1.63,-28.05,6,-1.22,0.331059357,3.634578923,0.253053846,0.009086447,0.000632635,6.086,0.07625,0.039,1.013971236,0.012140669,0.01025508,5.56,15.91,1.55,1.321,150.6,298.2785145,577.4,7,1,8,669.4426069,17.87008587,687.3126927,2.714285714,4.564285714,0.273146194
w2c,West,Primary,2,20,c,8,NW,West2NW8,4,-2.77,-26.97,47.84,1.67,-28.24,5.6,-0.67,0.362075655,3.790436769,0.281233692,0.009476092,0.000703084,6.086,0.07625,0.039,1.013971236,0.012140669,0.01025508,5.56,15.91,1.55,1.321,150.6,298.2785145,577.4,7,1,8,669.4426069,17.87008587,687.3126927,2.714285714,4.564285714,0.273146194
w3a,West,Primary,3,21,a,8,W,West3W8,4,-2.16,-26.49,40.2,1.83,-27.9,3.7,-0.63,0.255831193,1.2996933,0.1149396,0.003249233,0.000287349,6.894285714,0.074285714,0.028571429,1.115554223,0.011785714,0.007068061,5.7,16.21,1.43,1.406,160.1,209.8034114,76.80718982,5,0,5,47.75447499,0,47.75447499,0.980357143,0.980357143,0.279306874
w3b,West,Primary,3,21,b,8,W,West3W8,4,-2.4,-26.52,40.89,1.66,-28.07,3.2,-0.76,0.248007207,3.3054891,0.1798032,0.008263723,0.000449508,6.894285714,0.074285714,0.028571429,1.115554223,0.011785714,0.007068061,5.7,16.21,1.43,1.406,160.1,209.8034114,76.80718982,5,0,5,47.75447499,0,47.75447499,0.980357143,0.980357143,0.279306874
w3c,West,Primary,3,21,c,8,W,West3W8,4,-2.04,-26.44,41.04,1.72,-28.11,4.1,-0.81,0.278277477,2.121984849,0.164506566,0.005304962,0.000411266,6.894285714,0.074285714,0.028571429,1.115554223,0.011785714,0.007068061,5.7,16.21,1.43,1.406,160.1,209.8034114,76.80718982,5,0,5,47.75447499,0,47.75447499,0.980357143,0.980357143,0.279306874
w4a,West,Primary,4,22,a,0,W,West4W0,4,-3.28,-28.67,50.64,1.8,-27.8,2.9,-1.54,0.417797682,1.607533,0.2744207,0.004018833,0.000686052,4.505555556,0.026388889,0.006222222,0.398611256,0.007349309,0.00260723,5.68,17.21,1.35,1.349,100.8,151.6054075,308.8743254,5,0,5,330.1107806,0,330.1107806,2.0575,2.0575,0.336818757
w4b,West,Primary,4,22,b,0,W,West4W0,4,-3.41,-28.86,49.63,1.58,-28.03,3.2,-1.22,0.460608538,1.696070606,0.192066667,0.004240177,0.000480167,4.505555556,0.026388889,0.006222222,0.398611256,0.007349309,0.00260723,5.68,17.21,1.35,1.349,100.8,151.6054075,308.8743254,5,0,5,330.1107806,0,330.1107806,2.0575,2.0575,0.336818757
w4c,West,Primary,4,22,c,0,W,West4W0,4,-3.6,-28.92,49.18,1.75,-27.35,3,-1.57,0.403290598,1.7852372,0.2842114,0.004463093,0.000710529,4.505555556,0.026388889,0.006222222,0.398611256,0.007349309,0.00260723,5.68,17.21,1.35,1.349,100.8,151.6054075,308.8743254,5,0,5,330.1107806,0,330.1107806,2.0575,2.0575,0.336818757
w5a,West,Primary,5,23,a,16,NW,West5NW16,4,-1.26,-27.83,48.28,1.34,-27.47,7.3,-0.96,0.369591667,3.532031333,0.273460222,0.008830078,0.000683651,4.913888889,0.113055556,0.035277778,1.583768477,0.024072293,0.016230996,5.67,12.22,1.42,1.359,178.9,272.7452202,928.9,16,0,16,989.299229,0,989.299229,2.215234375,2.215234375,0.152495484
w5b,West,Primary,5,23,b,16,NW,West5NW16,4,-1.33,-28.04,48.43,1.43,-28.03,7.2,-1.44,0.341027234,3.375688723,0.261376596,0.008439222,0.000653441,4.913888889,0.113055556,0.035277778,1.583768477,0.024072293,0.016230996,5.67,12.22,1.42,1.359,178.9,272.7452202,928.9,16,0,16,989.299229,0,989.299229,2.215234375,2.215234375,0.152495484
w5c,West,Primary,5,23,c,16,NW,West5NW16,4,-1.26,-28.12,49.67,1.48,-27.88,7.3,-1.9,0.370863715,3.982813333,0.276219111,0.009957033,0.000690548,4.913888889,0.113055556,0.035277778,1.583768477,0.024072293,0.016230996,5.67,12.22,1.42,1.359,178.9,272.7452202,928.9,16,0,16,989.299229,0,989.299229,2.215234375,2.215234375,0.152495484
w6a,West,Primary,6,24,a,16,W,West6W16,4,-2.34,-27.23,44.52,1.74,-27.99,8.1,-1.02,0.506973262,3.681797539,0.233101692,0.009204494,0.000582754,3.981111111,0.025833333,0.016444444,0.525024158,0.005496211,0.006932434,5.72,16.32,1.21,1.278,174.3,350.3189968,294.3,9,1,10,391.7227532,2.847068342,394.5698216,1.9625,3.8375,0.160619461
