Sample ID,site,succession,plot,plot.unq,replicate,n.treat,weevil,label,block,leaf_d15n,leaf_d13c,leaf_c,leaf_n,21_d13c,21_mg.c.gsoil,21_d15n,21_mg.n.gsoil,18_mg.c.gsoil,18_mg.n.gsoil,18_c.mg.m2,18_n.mg.m2,litter_kg_m2_mean,herb_kg_m2_mean,som_kg_m2_mean,litter_kg_m2_std.error,herb_kg_m2_std.error,som_kg_m2_std.error,pH2019,percent.moist2019,bd.cores.g.cm3.2021,bd.pits.g.cm3.2018,sum.13,sum.14,sum.21,numberwillow,numberother,totalnumber,willowstemdiam,otherstemdiam,totalstemdiam,plantcoverwillow,plantcoverallwoody,plantcover.std.error
e1a,East,Primary,1,1,a,0,NW,East1NW0,1,-2.12,-28.68,52.04,1.67,-28.46,10.3,-0.31,0.307796497,5.28766481,0.327668481,0.013219162,0.000819171,1.924,0.0625,0.0255,0.313335816,0.011931518,0.007956479,5.72,7.38,1.39,1.268,154.6,348.7953244,426.3,5,4,9,568.6083997,123.1484685,691.7568683,2.6425,8.9175,0.369133275
e1b,East,Primary,1,1,b,0,NW,East1NW0,1,-2.02,-28.75,55.17,1.27,-28.36,12.8,-0.59,0.301201166,3.850385625,0.295638875,0.009625964,0.000739097,1.924,0.0625,0.0255,0.313335816,0.011931518,0.007956479,5.72,7.38,1.39,1.268,154.6,348.7953244,426.3,5,4,9,568.6083997,123.1484685,691.7568683,2.6425,8.9175,0.369133275
e1c,East,Primary,1,1,c,0,NW,East1NW0,1,-2.13,-28.69,48.65,1.32,-28.3,13.9,-0.2,0.293397849,8.453371852,0.533568642,0.02113343,0.001333922,1.924,0.0625,0.0255,0.313335816,0.011931518,0.007956479,5.72,7.38,1.39,1.268,154.6,348.7953244,426.3,5,4,9,568.6083997,123.1484685,691.7568683,2.6425,8.9175,0.369133275
e2a,East,Primary,2,2,a,8,NW,East2NW8,1,-3.27,-27.44,56.84,2.06,-27.78,5.6,-0.44,0.32951028,7.995504783,0.586308551,0.019988762,0.001465771,2.7621875,0.061875,0.0190625,0.705568324,0.011865598,0.006220959,5.61,7.32,1.39,1.107,94.6,101.1200135,264.1,2,1,3,264.0643714,18.19767545,282.2620468,2.975,4.1625,0.0625
e2b,East,Primary,2,2,b,8,NW,East2NW8,1,-3.24,-27.57,56.82,2.1,-27.95,5.3,-0.43,0.362576991,8.278525238,0.75126,0.020696313,0.00187815,2.7621875,0.061875,0.0190625,0.705568324,0.011865598,0.006220959,5.61,7.32,1.39,1.107,94.6,101.1200135,264.1,2,1,3,264.0643714,18.19767545,282.2620468,2.975,4.1625,0.0625
e2c,East,Primary,2,2,c,8,NW,East2NW8,1,-3.29,-27.49,56.64,2.07,-27.6,5.3,0.56,0.344184615,5.300509702,0.428945522,0.013251274,0.001072364,2.7621875,0.061875,0.0190625,0.705568324,0.011865598,0.006220959,5.61,7.32,1.39,1.107,94.6,101.1200135,264.1,2,1,3,264.0643714,18.19767545,282.2620468,2.975,4.1625,0.0625
e3a,East,Primary,3,3,a,16,NW,East3NW16,1,-1.6,-27.95,46.88,1.37,-27.49,10,0.82,0.649830769,5.428436667,0.379528889,0.013571092,0.000948822,2.365,0.067,0.01755,0.739962743,0.014042594,0.006775958,5.68,9.54,1.29,0.738,30.7,104.6935752,251.3,5,1,6,257.2184483,240.5281875,497.7466358,2.67,7.6075,0.421596667
e3b,East,Primary,3,3,b,16,NW,East3NW16,1,-1.19,-27.91,49.45,1.46,-27.65,9,0.09,0.612603707,6.833558,0.488101778,0.017083895,0.001220254,2.365,0.067,0.01755,0.739962743,0.014042594,0.006775958,5.68,9.54,1.29,0.738,30.7,104.6935752,251.3,5,1,6,257.2184483,240.5281875,497.7466358,2.67,7.6075,0.421596667
e3c,East,Primary,3,3,c,16,NW,East3NW16,1,-1.48,-27.97,49.73,1.69,-27.78,8.8,-0.16,0.632897796,6.955239333,0.480843778,0.017388098,0.001202109,2.365,0.067,0.01755,0.739962743,0.014042594,0.006775958,5.68,9.54,1.29,0.738,30.7,104.6935752,251.3,5,1,6,257.2184483,240.5281875,497.7466358,2.67,7.6075,0.421596667
e4a,East,Primary,4,4,a,8,W,East4W8,1,-2.67,-27.8,50.86,1.63,-27.11,5.6,-0.71,0.411320755,6.780492371,0.434136701,0.016951231,0.001085342,3.7495,0.029,0.00635,0.678114092,0.006934215,0.002198548,5.58,12.46,1.48,1.111,48.7,51.7027611,15.1,0,0,0,0,0,0,0,0,0
e4b,East,Primary,4,4,b,8,W,East4W8,1,-2.71,-27.9,46.85,1.54,-27.24,5.3,-0.54,0.479866379,4.580392277,0.309359109,0.011450981,0.000773398,3.7495,0.029,0.00635,0.678114092,0.006934215,0.002198548,5.58,12.46,1.48,1.111,48.7,51.7027611,15.1,0,0,0,0,0,0,0,0,0
e4c,East,Primary,4,4,c,8,W,East4W8,1,-2.82,-27.83,52.4,1.71,-27.38,5.2,-0.89,0.427760131,3.580454211,0.270893895,0.008951136,0.000677235,3.7495,0.029,0.00635,0.678114092,0.006934215,0.002198548,5.58,12.46,1.48,1.111,48.7,51.7027611,15.1,0,0,0,0,0,0,0,0,0
e5a,East,Primary,5,5,a,0,W,East5W0,1,-4.07,-28.65,41.58,1.28,-27.96,9.3,-1.45,0.863388076,3.969998182,0.30501697,0.009924995,0.000762542,1.8125,0.0255,0.0085,0.524276088,0.00834832,0.002587362,5.94,12.86,1.47,1.327,161.9,185.5503161,65.5,5,2,7,65.46105196,6.271404335,71.7324563,1.1175,1.1175,0.147775167
